text_input,output
làm ơn hạ TV phòng khách,device.livingroom.TV.decrease
phiền bạn tắt quạt phòng khách,device.livingroom.fan.0
phiền bạn giảm bếp phòng bếp,device.kitchen.stove.decrease
kiểm tra quạt phòng tắm với,status.bathroom.fan
kiểm tra tủ lạnh phòng bếp nào,status.kitchen.refrigerator
xem bếp phòng bếp với,status.kitchen.stove
cho tôi giảm TV phòng khách,device.livingroom.TV.decrease
cho tôi mở vòi sen phòng tắm,device.bathroom.shower.1
mở máy sưởi phòng tắm với,device.bathroom.heater.1
giảm tủ lạnh phòng bếp với,device.kitchen.refrigerator.decrease
bật đèn phòng bếp đi,device.kitchen.light.1
giảm rèm phòng ngủ với,device.bedroom.curtain.decrease
tăng quạt phòng tắm giúp tôi,device.bathroom.fan.increase
giảm quạt phòng tắm nào,device.bathroom.fan.decrease
phiền bạn kiểm tra đèn phòng bếp,status.kitchen.light
tắt vòi sen phòng tắm với,device.bathroom.shower.0
kéo rèm phòng ngủ lên đi,device.bedroom.curtain.increase
tắt điều hòa phòng ngủ với,device.bedroom.airconditioner.0
kiểm tra TV phòng khách nào,status.livingroom.TV
cho tôi xem điều hòa phòng ngủ,status.bedroom.airconditioner
phiền bạn tắt đèn phòng ngủ,device.bedroom.light.0
cho tôi tắt điều hòa phòng ngủ,device.bedroom.airconditioner.0
bật quạt phòng tắm nào,device.bathroom.fan.1
mở rèm phòng ngủ nào,device.bedroom.curtain.1
xem TV phòng khách với,status.livingroom.TV
làm ơn tăng bếp phòng bếp,device.kitchen.stove.increase
giảm quạt phòng ngủ giúp tôi,device.bedroom.fan.decrease
tắt quạt hút phòng bếp với,device.kitchen.exhaust_fan.0
tắt quạt hút phòng bếp nào,device.kitchen.exhaust_fan.0
tắt quạt phòng ngủ với,device.bedroom.fan.0
tắt loa phòng khách giúp tôi,device.livingroom.speaker.0
phiền bạn giảm máy sưởi phòng tắm,device.bathroom.heater.decrease
hạ vòi sen phòng tắm nào,device.bathroom.shower.decrease
tắt tủ lạnh phòng bếp nào,device.kitchen.refrigerator.0
tắt quạt phòng khách đi,device.livingroom.fan.0
phiền bạn hạ TV phòng khách,device.livingroom.TV.decrease
làm ơn bật điều hòa phòng ngủ,device.bedroom.airconditioner.1
làm ơn tăng điều hòa phòng ngủ,device.bedroom.airconditioner.increase
hạ tủ lạnh phòng bếp nào,device.kitchen.refrigerator.decrease
giảm rèm phòng ngủ đi,device.bedroom.curtain.decrease
phiền bạn tắt quạt phòng ngủ,device.bedroom.fan.0
kiểm tra quạt phòng khách giúp tôi,status.livingroom.fan
hạ máy sưởi phòng tắm đi,device.bathroom.heater.decrease
làm ơn tắt vòi sen phòng tắm,device.bathroom.shower.0
tăng loa phòng khách với,device.livingroom.speaker.increase
bật TV phòng khách nào,device.livingroom.TV.1
bật quạt phòng tắm nào,device.bathroom.fan.1
tắt điều hòa phòng ngủ giúp tôi,device.bedroom.airconditioner.0
tắt quạt phòng khách đi,device.livingroom.fan.0
làm ơn tăng quạt phòng khách,device.livingroom.fan.increase
cho tôi hạ tủ lạnh phòng bếp,device.kitchen.refrigerator.decrease
mở vòi sen phòng tắm giúp tôi,device.bathroom.shower.1
tăng đèn phòng khách nào,device.livingroom.light.increase
hạ TV phòng khách giúp tôi,device.livingroom.TV.decrease
cho tôi xem quạt hút phòng bếp,status.kitchen.exhaust_fan
tắt đèn phòng ngủ giúp tôi,device.bedroom.light.0
tắt vòi sen phòng tắm giúp tôi,device.bathroom.shower.0
giảm đèn phòng khách đi,device.livingroom.light.decrease
cho tôi giảm vòi sen phòng tắm,device.bathroom.shower.decrease
xem đèn phòng tắm đi,status.bathroom.light
bật đèn phòng tắm với,device.bathroom.light.1
tăng đèn phòng bếp giúp tôi,device.kitchen.light.increase
làm ơn xem máy sưởi phòng tắm,status.bathroom.heater
làm ơn bật đèn phòng ngủ,device.bedroom.light.1
xem bếp phòng bếp nào,status.kitchen.stove
giảm quạt phòng tắm giúp tôi,device.bathroom.fan.decrease
tắt đèn phòng bếp đi,device.kitchen.light.0
làm ơn giảm đèn phòng khách,device.livingroom.light.decrease
cho tôi giảm điều hòa phòng ngủ,device.bedroom.airconditioner.decrease
bật điều hòa phòng ngủ giúp tôi,device.bedroom.airconditioner.1
phiền bạn xem quạt phòng tắm,status.bathroom.fan
làm ơn hạ tủ lạnh phòng bếp,device.kitchen.refrigerator.decrease
cho tôi hạ điều hòa phòng ngủ,device.bedroom.airconditioner.decrease
làm ơn kiểm tra loa phòng khách,status.livingroom.speaker
làm ơn xem máy sưởi phòng tắm,status.bathroom.heater
kiểm tra quạt hút phòng bếp nào,status.kitchen.exhaust_fan
cho tôi bật quạt phòng ngủ,device.bedroom.fan.1
cho tôi xem quạt phòng khách,status.livingroom.fan
tăng đèn phòng ngủ giúp tôi,device.bedroom.light.increase
hạ TV phòng khách với,device.livingroom.TV.decrease
làm ơn tăng đèn phòng tắm,device.bathroom.light.increase
tăng đèn phòng khách nào,device.livingroom.light.increase
tăng tủ lạnh phòng bếp nào,device.kitchen.refrigerator.increase
